Timestamp,PM2.5 (µg/m³),Station,Actual_PM2.5_24h,Predicted_PM2.5_24h
2026-05-04 13:00:00,15.25,Talkatora DIC,33.75,46.20573473278077
2026-05-04 14:00:00,17.75,Talkatora DIC,35.0,43.51956943362193
2026-05-04 15:00:00,16.25,Talkatora DIC,33.5,44.666316225084735
2026-05-04 16:00:00,24.0,Talkatora DIC,37.25,41.75762802402655
2026-05-04 17:00:00,23.25,Talkatora DIC,28.75,43.34392603000124
2026-05-04 18:00:00,23.0,Talkatora DIC,21.25,44.46461071254092
2026-05-04 19:00:00,24.75,Talkatora DIC,31.25,44.77817137151156
2026-05-04 20:00:00,27.75,Talkatora DIC,28.5,47.83063641466557
2026-05-04 21:00:00,30.75,Talkatora DIC,28.25,50.879238360431486
2026-05-04 22:00:00,29.25,Talkatora DIC,27.5,48.988288603310245
2026-05-04 23:00:00,30.67,Talkatora DIC,42.0,50.06767463505629
2026-05-05 00:00:00,19.5,Talkatora DIC,42.25,59.916184854497324
2026-05-05 01:00:00,18.75,Talkatora DIC,42.5,52.45148440476189
2026-05-05 02:00:00,19.0,Talkatora DIC,41.75,51.905781309523775
2026-05-05 03:00:00,26.0,Talkatora DIC,42.5,48.89236029100528
2026-05-05 04:00:00,21.0,Talkatora DIC,37.5,41.451362392576556
2026-05-05 05:00:00,25.5,Talkatora DIC,37.5,37.39022634805914
2026-05-05 06:00:00,24.25,Talkatora DIC,40.75,40.93420617484363
2026-05-05 07:00:00,33.75,Talkatora DIC,36.75,40.213997348484824
2026-05-05 08:00:00,18.5,Talkatora DIC,36.0,46.678052817044424
2026-05-05 09:00:00,8.5,Talkatora DIC,36.5,38.60684623061484
2026-05-05 10:00:00,25.5,Talkatora DIC,35.25,37.00413953606921
2026-05-05 11:00:00,31.67,Talkatora DIC,26.25,40.86109096921596
2026-05-05 12:00:00,33.0,Talkatora DIC,27.25,45.20365039682538
2026-05-05 13:00:00,33.75,Talkatora DIC,32.0,42.8406889285714
2026-05-05 14:00:00,35.0,Talkatora DIC,42.5,44.564304289643935
2026-05-05 15:00:00,33.5,Talkatora DIC,32.25,50.44262119047619
2026-05-05 16:00:00,37.25,Talkatora DIC,26.75,44.94168883639348
2026-05-05 17:00:00,28.75,Talkatora DIC,30.25,51.123977959770095
2026-05-05 18:00:00,21.25,Talkatora DIC,31.75,45.91713972772436
2026-05-05 19:00:00,31.25,Talkatora DIC,29.5,41.370694657201234
2026-05-05 20:00:00,28.5,Talkatora DIC,26.0,49.942354745484394
2026-05-05 21:00:00,28.25,Talkatora DIC,33.25,50.848595092592554
2026-05-05 22:00:00,27.5,Talkatora DIC,39.25,52.28071884920636
2026-05-05 23:00:00,42.0,Talkatora DIC,56.0,62.13509377145845
2026-05-06 00:00:00,42.25,Talkatora DIC,41.0,66.7475487166985
2026-05-06 01:00:00,42.5,Talkatora DIC,29.0,54.949270407647916
2026-05-06 02:00:00,41.75,Talkatora DIC,21.5,53.75218509259261
2026-05-06 03:00:00,42.5,Talkatora DIC,18.25,52.18451615965079
2026-05-06 04:00:00,37.5,Talkatora DIC,14.25,52.38754629496381
2026-05-06 05:00:00,37.5,Talkatora DIC,22.0,50.370107297554846
2026-05-06 06:00:00,40.75,Talkatora DIC,20.25,51.006306433547195
2026-05-06 07:00:00,36.75,Talkatora DIC,17.25,48.31286565078539
2026-05-06 08:00:00,36.0,Talkatora DIC,24.5,51.949570512940966
2026-05-06 09:00:00,36.5,Talkatora DIC,23.5,47.76713950808175
2026-05-06 10:00:00,35.25,Talkatora DIC,24.25,56.24786668029457
2026-05-06 11:00:00,26.25,Talkatora DIC,22.25,61.618827639136434
2026-05-06 12:00:00,27.25,Talkatora DIC,23.75,54.270724583542766
2026-05-07 13:00:00,27.0,Talkatora DIC,40.25,56.19961288823918
2026-05-07 14:00:00,31.75,Talkatora DIC,37.0,45.20372659898166
2026-05-07 16:00:00,42.0,Talkatora DIC,33.0,46.336018251234464
2026-05-07 17:00:00,33.0,Talkatora DIC,35.25,46.65667581751352
2026-05-07 18:00:00,23.25,Talkatora DIC,41.0,43.93730705179989
2026-05-07 19:00:00,24.5,Talkatora DIC,34.25,39.996058199763326
2026-05-07 20:00:00,27.5,Talkatora DIC,34.5,41.620600855206916
2026-05-07 21:00:00,33.0,Talkatora DIC,33.0,42.80409880134159
2026-05-07 22:00:00,36.0,Talkatora DIC,35.5,43.88937395193869
2026-05-07 23:00:00,32.0,Talkatora DIC,43.0,45.25220693336243
2026-05-08 00:00:00,27.75,Talkatora DIC,34.0,42.964685646347206
2026-05-08 01:00:00,32.5,Talkatora DIC,35.0,38.972803240640225
2026-05-08 02:00:00,28.0,Talkatora DIC,31.5,42.07770712962164
2026-05-08 03:00:00,27.5,Talkatora DIC,31.0,41.08291108492819
2026-05-08 04:00:00,29.0,Talkatora DIC,33.25,41.8486418982967
2026-05-08 05:00:00,30.5,Talkatora DIC,30.75,43.578112502024936
2026-05-08 06:00:00,36.75,Talkatora DIC,32.5,44.89121723100436
2026-05-08 07:00:00,40.5,Talkatora DIC,41.5,49.62283097271342
2026-05-08 08:00:00,40.75,Talkatora DIC,42.5,47.80530658569998
2026-05-08 09:00:00,35.5,Talkatora DIC,40.75,47.85402841922264
2026-05-08 10:00:00,35.5,Talkatora DIC,40.25,49.4343924717157
2026-05-08 11:00:00,41.5,Talkatora DIC,46.5,48.90317014244473
2026-05-08 12:00:00,42.75,Talkatora DIC,49.5,49.14860284463469
2026-05-08 13:00:00,40.25,Talkatora DIC,43.75,48.412447027477114
2026-05-08 14:00:00,37.0,Talkatora DIC,42.25,47.04069227120426
2026-05-08 15:00:00,33.0,Talkatora DIC,39.5,46.28186532407462
2026-05-08 16:00:00,33.0,Talkatora DIC,41.5,48.54451276708979
2026-05-08 17:00:00,35.25,Talkatora DIC,44.0,45.59872936327749
2026-05-08 18:00:00,41.0,Talkatora DIC,47.0,45.92347966613505
2026-05-08 19:00:00,34.25,Talkatora DIC,45.25,44.71518585505871
2026-05-08 20:00:00,34.5,Talkatora DIC,39.75,43.792483429492435
2026-05-08 21:00:00,33.0,Talkatora DIC,44.25,43.68191548077447
